Country,Union_Density_perc,Collective_Bargaining_perc,Gov_Econ_Affairs_GDPperc,Gov_Education_GDPperc,Gov_Environment_GDPperc,Gov_Health_GDPperc,Gov_Housing_Community_GDPperc,Gov_Recreation_GDPperc,Gov_Social_Protection_GDPperc,Welfare_State_Public_Goods_GDPperc,Social_Protection_GDPperc,Public_Expeditures_Education_GDPperc,Social_Protect_and_Education_GDPperc,SEO_Market_Value_USDbn,GDP_PPP_2015,SOE_GDPperc,Gov_Financial_Assets_GDPperc,Total_Public_Wealth_USDbn,Total_Private_Wealth_USDbn,Public_Wealth_Share,Freedom_Rating,Union_Density_TScore,Collective_Bargaining_perc_TScore,Union_Score,Welfare_State_Public_Goods_GDPperc_TScore,Social_Protect_and_Education_GDPperc_TScore,Public_Sector_TScore,SOE_GDPperc_Tscore,Gov_Financial_Assets_GDPperc_Tscore,Public_Wealth_Share_Tscore,State_Ownership_Score,Freedom_Rating_TScore,Socialism_Score,Dem_Socialism_Score,Life_Expectancy,Maternal_Mortality_rate,Neonatal_Mortality_Rate_per_1000,Infant_Mortality_Rate_per_1000,Life_Satisifaction,Leisure_and_Personal_Care_Time,Paid_Maternity_Leave,Paid_Paternity_Leave,Paid_Maternity_Paternity_Leave,Paid_Annual_Leave_plus_Holidays,Mean_Annual_Hours_Worked_Per_Worker,GDP_Per_Hour_Worked_USD_PPP,Labor_Income_Share,Labor_Income_Per_Hour,P90_P10_gross_earnings_decile_ratio,Gender_Wage_Gap,Median_Disposable_Income_current_prices,PPP,Median_Disposable_Income_PPP,Relataive_Poverty_Rate,Mean_Poverty_Gap_50perc,Total_Poverty_Gap_Rate_x_Gap,P90_P10_disposable_income_decile_ratio,Gini_Post_TaxesandTransfers,Top_1perc_Wealth_Share,Life_Expectancy_TScore,Maternal_Mortality_rate_TScore,Neonatal_Mortality_Rate_per_1000_TScore,Infant_Mortality_Rate_per_1000_TScore,Health_Score,Leisure_and_Personal_Care_Time_TScore,Paid_Maternity_Leave_TScore,Paid_Maternity_Leave_TScore,Paid_Maternity_Paternity_Leave_TScore,Paid_Annual_Leave_plus_Holidays_TScore,Mean_Annual_Hours_Worked_Per_Worker_TScore,Leisure_Score,P90_P10_gross_earnings_decile_ratio_TScore,Gender_Wage_Gap_TScore,Total_Poverty_Gap_Rate_x_Gap_TScore,P90_P10_disposable_income_decile_ratio_TScore,Gini_Post_TaxesandTransfers_TScore,Top_1perc_Wealth_Share_TScore,Economic_Inequality_Score,Average_of_Health+Leisure+Inequality Scores,GII_2019_Innovation_Output_Index
Australia,13.7,59.16,3.64,5.31,0.88,7.03,0.59,0.73,10.23,28.41,17.8,3.951,21.751,13.6,1127.71,0.01205983808,50.6,1350,6120,0.1807228916,98,-0.5302958372,0.326101803,-0.1020970171,-1.048789204,-0.4336113878,-0.7412002958,-0.8308401425,-0.0478394796,0.1994175754,-0.2264206822,0.6209776483,-0.2540430291,-0.1121850867,82.5,1.6,2.4,3.3,7.3,14.35,18,2,20,28,1665,59,0.556,32.804,3.13,11.7,49154,1.555574,31598.62533,0.121,0.287,0.034727,4.3,0.33,0.15,0.7266646669,0.8875882642,0.1395933948,0.3453803188,0.5248066612,-1.062183143,-0.8218284768,-0.4530162,-0.9167335188,-0.2505877226,0.03495858399,-0.5486364502,0.2932592369,0.229997555,0.134139588,-0.009640194407,-0.2331732002,0.4742913332,0.1481457197,0.04143864356,36.3
Austria,26.3,98,6.16,4.96,0.45,7.99,0.35,1.24,21.65,42.8,26.6,4.611,31.211,4.9,431.09,0.01136653599,44.4,NA,NA,NA,93,0.09890163012,1.575912907,0.8374072684,1.159008333,1.163536475,1.161272404,-0.8389681419,-0.1586195757,NA,-0.4987938588,0.2355432459,0.5007166281,0.4338572648,81.7,2.3,2,2.9,7.1,14.55,60,8.7,68.7,38,1511,71.1,0.675,47.9925,3.22,15.4,27459,0.84514,32490.47495,0.098,0.354,0.034692,3.5,0.284,0.2553,0.4143073175,0.7828237478,0.4441608016,0.4951838305,0.5341189243,-0.7760273255,0.1021785554,0.04844092455,0.1117538461,1.187210686,0.8667628314,0.3474250094,0.1601836168,-0.2991159913,0.1363391413,0.6844538029,0.6173440236,-0.9345345451,0.06077834137,0.314107425,39.1
Belgium,50.3,96,6.46,6.42,0.87,7.67,0.33,1.19,20.2,43.14,28.9,5.353,34.253,10,521.02,0.01919312119,32.7,NA,NA,NA,96,1.297372996,1.511556001,1.404464499,1.211173111,1.6771225,1.444147806,-0.7472123528,-0.3676723378,NA,-0.5574423453,0.4668038873,0.8413815512,0.6894934616,81.5,4.1,2.2,3.6,6.9,15.7,32.3,19.3,51.6,30,1545,76.8,0.705,54.144,2.41,3.7,25456,0.867059,29359.01709,0.097,0.216,0.020952,3.3,0.266,0.1206,0.3362179802,0.5134292769,0.2918770982,0.2330276849,0.3436380101,0.869368628,-0.5072260825,0.8417910022,-0.2493782676,0.03697195907,0.6831177378,0.3350200143,1.357864198,1.374026844,0.9998209517,0.8579773022,0.9501551111,0.8676387294,1.067913856,0.5821906268,39.6
Canada,25.9,30.3,NA,NA,NA,NA,NA,NA,NA,NA,17.3,4.37,21.67,30.316,1594.9,0.01900808828,70.6,-82.6,8120,-0.01027695523,99,0.07892710734,-0.6025683426,-0.2618206176,NA,-0.4472867554,-0.4472867554,-0.7493816054,0.3095156692,-0.7476136329,-0.395826523,0.6980645288,-0.3683112987,-0.1017173418,81.9,6.6,3.5,4.5,7.4,14.56,52,0,52,19,1708,53.7,0.598,32.1126,3.61,18.2,44886,1.340062,33495.46514,0.121,0.305,0.036905,4.1,0.31,NA,0.4923966549,0.1392702897,-0.6979669739,-0.1040302165,-0.04258256146,-0.7617195346,-0.07382278406,-0.6027048939,-0.2409307328,-1.54460629,-0.1972984461,-0.6861387508,-0.4164774037,-0.6995262426,-0.0027354763,0.1638833049,0.1366168971,NA,-0.1636477841,-0.2974563655,41.4
Chile,17.7,20.86,NA,NA,NA,NA,NA,NA,NA,NA,10.9,3.838,14.738,20.8,407.69,0.05101915671,NA,NA,NA,NA,94,-0.3305506095,-0.9063329363,-0.6184417729,NA,-1.617628086,-1.617628086,-0.3740965006,NA,NA,-0.3740965006,0.3126301264,-0.8700554531,-0.5743840582,79.9,9,5.2,7,6.5,NA,30,1,31,30,1941,27.7,NA,NA,4,12.5,4659375,461.245938,10101.71498,0.165,0.31,0.05115,7.2,0.46,NA,-0.2884967185,-0.2199223381,-1.992378453,-1.040302165,-0.8852749186,NA,-0.5578264676,-0.527860547,-0.6844263111,0.03697195907,-1.45580747,-0.7010872739,-0.9931384241,0.1155946261,-0.8979536996,-2.525730935,-2.636808833,NA,-1.387607453,-0.9913232152,25
Czech Republic,11.5,46.27,6.56,4.93,1.1,7.63,0.67,1.34,12.65,34.88,18.7,3.18,21.88,28.8,355.31,0.08105597929,29.1,396.8,739.6,0.3491728265,91,-0.6401557125,-0.08867845262,-0.3644170825,-0.05612415446,-0.4118320988,-0.2339781266,-0.02195667345,-0.4319962646,1.034639949,0.1935623369,0.08136948495,-0.1942289481,-0.08086584682,79.1,7,1.8,2.7,6.7,NA,110,0,110,33,1792,42.2,0.607,25.6154,3.34,15.1,254063,14.127062,17984.1357,0.056,0.236,0.013216,3,0.253,NA,-0.6008540678,0.07940485174,0.596444505,0.5700855864,0.1612702188,NA,1.202186927,-0.6027048939,0.9839618168,0.4683114815,-0.6510098538,0.2670878148,-0.01725054335,-0.2562148929,1.485985092,1.118262551,1.190518674,NA,0.7042601762,0.3775394033,43.4
Denmark,66.5,84,3.66,7.04,0.45,8.56,0.25,1.76,23.58,45.3,28,6.237,34.237,13.5,278.82,0.04841833441,48.5,120.6,952.8,0.11235327,97,2.106341169,1.125414569,1.615877869,1.54257288,1.674421193,1.608497037,-0.4045875126,-0.08536177023,-0.1395783266,-0.2098425365,0.5438907678,1.026818842,0.8896057842,80.9,1.6,3.1,3.8,7.6,15.87,50,2,52,34,1392,76.4,0.645,49.278,2.56,5.3,240807,8.324573,28927.24948,0.058,0.299,0.017342,2.9,0.261,0.2362,0.1019499682,0.8875882642,-0.3933995671,0.1581259291,0.1885661486,1.112601073,-0.1178231189,-0.4530162,-0.2409307328,0.6120913223,1.509520659,0.7483205804,1.136071498,1.145220987,1.226689171,1.205024301,1.042602635,-0.6789925292,0.8461026771,0.594329802,47.5
Estonia,4.3,18.6,4.77,6.1,0.69,5.51,0.36,1.98,12.93,32.34,18.4,4.008,22.408,4.2,38.67,0.1086113266,47.8,NA,NA,NA,94,-0.9996971224,-0.9790562394,-0.9893766809,-0.4458257349,-0.3226889623,-0.3842573486,0.3010913194,-0.09786920044,NA,0.1016110595,0.3126301264,-0.4034848612,-0.2398482109,77.8,14.4,1.4,2.3,5.7,14.9,166,2,168,30,1748,38.3,0.586,22.4438,3.78,28.3,10594,0.598256,17708.13832,0.157,0.264,0.041448,4.7,0.314,0.2123,-1.108434761,-1.028105751,0.9010119118,0.7198890981,-0.1289098753,-0.275254644,2.434196303,-0.4530162,2.208854366,0.03697195907,-0.4133514974,0.389305046,-0.6678424638,-2.14386322,-0.2882375043,-0.3566871931,0.0626588776,-0.3592305302,-0.6255336724,-0.1217128339,43.8
Finland,60.3,89.32,4.75,6.25,0.24,7.16,0.41,1.48,25.59,45.88,28.7,5.576,34.276,40.3,233.07,0.1729094264,119.3,305.9,657.9,0.3173894999,100,1.796736066,1.296603937,1.546670001,1.631559855,1.681005629,1.656282742,1.054896809,1.179675457,0.8770492352,1.037207167,0.7751514092,1.421627599,1.25382783,81.5,8,1.5,2,7.6,15.17,161,9,170,36,1555,64.6,0.686,44.3156,2.57,17.7,26413,0.946899,27894.21047,0.063,0.21,0.01323,3.1,0.266,0.1331,0.3362179802,-0.07025874316,0.8248700601,0.832241732,0.4807677573,0.1110557103,2.324195466,0.07089422864,2.251092041,0.8996510039,0.629104475,0.9727258074,1.121285318,-0.628024412,1.48510527,1.031500802,0.9501551111,0.7003991902,0.7767368798,0.7434101482,51.6
France,8.8,98.46,5.71,5.46,1.01,8.17,1.07,1.33,24.55,47.3,31.2,4.538,35.738,76.9,2719.22,0.02828016858,45.6,388.6,1350,0.2235131715,90,-0.7749837412,1.590714995,0.4078656269,1.849424518,1.927837572,1.888631045,-0.6406794034,-0.1371782668,0.411583874,-0.1220912654,0.004282604471,0.7378706443,0.5446720027,82.4,8.7,2.8,3.8,6.5,16.36,42,28,70,36,1520,70.6,0.69,48.714,2.81,9.9,22270,0.860609,25877.02429,0.083,0.239,0.019837,3.4,0.291,0.1865,0.6876199982,-0.1750232596,-0.164974012,0.1581259291,0.1264371639,1.813682827,-0.2938244584,1.492936821,0.1392083343,0.8996510039,0.8181508949,0.9176732651,0.7664169973,0.4874041452,1.069892438,0.7712155526,0.4879174895,-0.01404812129,0.5947997501,0.5463033931,45
Germany,16.5,56,3.14,4.2,0.61,7.16,0.38,1.02,18.95,35.46,25.1,3.62,28.72,72,3895.13,0.01848462054,34.7,711.9,1510,0.3204014582,94,-0.3904741778,0.2244178924,-0.08302814273,0.0328628206,0.7429767153,0.3879197679,-0.7555185341,-0.3319368229,0.8919833756,-0.06515732716,0.3126301264,0.1982637485,0.1380911061,81.1,2.9,2.3,3.3,7,15.62,58,8.7,66.7,31,1363,72.2,0.685,49.457,3.33,16.2,22662,0.82218,27563.3073,0.104,0.265,0.02756,3.8,0.294,0.2366,0.1800393055,0.6930255908,0.2157352465,0.3453803188,0.3585451154,0.7549063008,0.05817822055,0.04844092455,0.069516172,0.1807517999,1.666159121,0.6678333484,-0.002464363335,-0.4135189202,0.5845452746,0.4241685539,0.4324489749,-0.6843441944,0.05680588758,0.3610614505,51.1
Greece,20.2,40,8.89,4.32,1.48,4.54,0.24,0.7,20.52,40.69,23.5,3.385,26.885,83.4,291.11,0.2864896431,42.4,-156.4,1610,-0.1075949367,87,-0.2057098422,-0.2904373512,-0.2480735967,0.8352798544,0.4331705495,0.6342252019,2.386466344,-0.1943550906,-1.230143683,0.3206558571,-0.226978037,0.16858427,0.1199573563,81.5,6.8,2.3,3.5,5.4,NA,43,0.4,43.4,31,1956,37.9,0.602,22.8158,3.2,4.5,8598,0.671743,12799.53792,0.144,0.353,0.050832,4.7,0.333,0.0916,0.3362179802,0.1093375707,0.2157352465,0.2704785629,0.2329423401,NA,-0.271824291,-0.5727671551,-0.4225527316,0.1807517999,-1.536827364,-0.5928760986,0.1897559768,1.259623915,-0.8779691861,-0.3566871931,-0.2886417148,1.25563446,0.1969527098,-0.05432701624,27.6
Hungary,7.9,22.8,8.64,5.16,1.23,5.31,1.08,2.15,14.96,38.53,19.4,3.23,22.63,9.1,262.49,0.03466798735,30.4,NA,NA,NA,70,-0.8199264174,-0.843906738,-0.8319165777,0.5038800852,-0.2852083253,0.1093358799,-0.5657911427,-0.4087681799,NA,-0.4872796613,-1.537455005,-0.5348015215,-0.6868288411,76.2,15.3,2.2,3.5,5.6,NA,160,1,161,30,1741,35.7,0.6,21.42,3.73,9.4,1750891,149.083068,11744.39877,0.078,0.435,0.03393,3.3,0.282,0.1723,-1.733149459,-1.162802986,0.2918770982,0.2704785629,-0.583399196,NA,2.302195299,-0.527860547,2.061022507,0.03697195907,-0.3755422134,0.5741507509,-0.5939115638,0.5589059757,0.1842265605,0.8579773022,0.6543230333,0.1759359952,0.3062428839,0.09899814624,38.7
Iceland,91.8,90,4.99,7.45,0.58,7.45,0.47,3.22,9.47,33.63,16,5.52,21.52,3.6,16.16,0.2227722772,22,NA,NA,NA,94,3.369729734,1.318485285,2.344107509,-0.2479064283,-0.4726115101,-0.3602589692,1.63946915,-0.5588573424,NA,0.5403059036,0.3126301264,0.8039339677,0.7091961426,82.3,22.3,2.2,2.7,7.5,NA,26,13,39,36,1469,65.3,0.602,39.3106,2.93,11.5,4699146,154.996456,30317.76417,0.054,0.272,0.014688,3,0.255,NA,0.6485753295,-2.21044815,0.2918770982,0.5700855864,-0.174977534,NA,-0.6458271373,0.3702716164,-0.5154756146,0.8996510039,1.093618535,0.4925979748,0.5889828371,0.2585982873,1.393478161,1.118262551,1.153539665,NA,0.9025723003,0.4067309137,44
Ireland,24.5,33.52,3.38,3.66,0.4,5.7,0.58,0.58,9.63,23.93,14.4,3.113,17.513,10.2,324.7,0.03141361257,24,NA,NA,NA,97,0.00901627764,-0.4989537248,-0.2449687236,-1.736136873,-1.149120124,-1.442628499,-0.6039441455,-0.5231218275,NA,-0.5635329865,0.5438907678,-0.6525406113,-0.4268098602,81.8,6.2,2.7,3,7,NA,26,0,26,29,1782,98,0.568,55.664,4.1,5.9,25726,0.991754,25939.90042,0.092,0.236,0.021712,3.8,0.309,0.1418,0.4533519862,0.1991357277,-0.08883216032,0.4577329526,0.2553471265,NA,-0.6458271373,-0.6027048939,-0.7900204964,-0.1068078817,-0.596996591,-0.4979416564,-1.141000224,1.05941879,0.9520592212,0.4241685539,0.1551064019,0.5840004709,0.3389588689,0.03212144636,50.1
Israel,25,26.1,2.35,6.79,0.5,5.03,0.03,1.41,10.71,26.82,16,4.89,20.89,48,296.96,0.161637931,3.5,NA,NA,NA,78,0.03398443111,-0.737717844,-0.3518667065,-1.292736256,-0.5789754798,-0.935855868,0.9227542557,-0.8894108551,NA,0.01667170032,-0.9207599613,-0.3047234953,-0.5479527088,82.5,2.7,2,3.1,7.2,NA,14,0,14,21,1910,42.7,0.619,26.4313,4.86,21.8,89367,4.237321,21090.44842,0.179,0.329,0.058891,5.4,0.344,NA,0.7266646669,0.7229583098,0.4441608016,0.4202820746,0.5785164632,NA,-0.9098291465,-0.6027048939,-1.043446541,-1.257046608,-1.288366355,-1.196286501,-2.264749905,-1.214339423,-1.384432062,-0.9640194407,-0.4920262684,NA,-1.26391342,-0.6272278193,51.6
