Country,Stat,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Avg_2011_2020
Australia,Trade Union Density,24.9,24.6,23.2,23.2,22.8,22.5,20.4,18.8,18.8,19.6,18.4,18.4,18.2,17,15.1,,14.6,,13.7,,,16.17
Austria,Trade Union Density,36.9,36.2,36,34.6,34.8,33.8,31.6,30.4,29.6,29.3,28.9,28.3,28,27.8,27.7,27.4,26.9,26.7,26.3,26.3,,27.27
Belgium,Trade Union Density,56.6,57.6,56.9,55.4,55.3,54.9,53.8,53.6,53.4,53.8,53,54.2,54.1,53.3,52.9,52.3,51.6,50.7,50,49.1,,52.02
Canada,Trade Union Density,28.2,28.4,28.3,28.2,27.8,27.7,27.4,27.3,27,27.3,27.2,26.9,27.2,27.1,26.4,26.5,26.3,26.3,25.9,26.1,27.2,26.59
Chile,Trade Union Density,11.2,10.9,11.1,11.7,11.5,11.1,11.2,11.5,12.9,13.7,13.9,13.8,14.4,14.1,14.6,15.3,16.9,17,16.6,,,15.34
Colombia,Trade Union Density,12.3,,10.9,,10.5,9.6,9.6,,9.6,9.4,9.2,9.1,9.1,9.7,9.6,9.4,9.5,9.5,,,,9.41
Costa Rica,Trade Union Density,14.3,13.5,14.3,14.5,13.9,13.3,12.9,11.5,12,13,12.9,13.4,13.1,13.7,12.4,18.6,19.3,19.3,19.4,20.5,,16.63
Czech Republic,Trade Union Density,27.2,23.8,22.4,22.3,20.6,19.1,18.1,17.4,16.9,16.7,16.1,15.4,14.8,13.6,12.9,11.9,11.9,11.7,11.4,,,12.95
Denmark,Trade Union Density,74.5,73.9,73.6,72.4,71.7,71.5,69.7,69,68.8,68.9,68.1,68.7,69,68.8,68.5,68.2,67.4,66.7,67.5,67,,67.98
Estonia,Trade Union Density,14,14,12.6,11,9.4,8.7,8.4,7.6,6.2,7.6,8.2,7,6,5.6,5.3,4.5,5,4.7,5.9,6,,5.56
Finland,Trade Union Density,74.2,76.6,75.7,74.5,73.5,72.7,71.9,71.1,69.9,72.5,71.4,69.6,69.2,67.5,67.8,67.5,65.7,62.9,60,58.8,,65.44
France,Trade Union Density,10.8,10.8,10.8,10.8,10.5,10.5,,,10.6,,10.8,,,11,,,10.8,,,,,10.9
Germany,Trade Union Density,24.6,23.7,23.5,23,22.2,21.5,20.6,19.8,19,18.8,18.9,18.4,18.3,18,17.7,17.6,17,16.7,16.6,16.3,,17.4
Greece,Trade Union Density,,24.9,,,24.1,,,22.6,,,22.2,,,23.1,,,19,,,,,21.05
Hungary,Trade Union Density,23.8,20.4,,18.9,17.9,17.3,,,15.3,,,,12.5,,11,,9.2,,8.3,,,10.25
Iceland,Trade Union Density,89.1,88.9,93.3,86.5,84.1,84.1,85.2,84.9,84.7,84.9,85.2,85,85.3,88.9,90.4,91.6,90.4,91,90.7,90.7,92.2,89.62
Ireland,Trade Union Density,35.9,35,35.1,34.9,33.6,32.4,31.7,30.5,30.9,31.9,31.6,31.6,30.1,28.5,26.3,25.4,23.4,24.3,24.1,25.1,26.2,26.5
Israel,Trade Union Density,37.7,,,,,,,30.3,,,,,22.8,,,,,25,,,,23.9
Italy,Trade Union Density,34.8,34.2,33.7,33.6,34,33.8,33.6,34,33.9,34.7,35.3,35.2,35.5,35.7,35.4,34.2,33.6,33.2,32.6,32.5,,34.21
Japan,Trade Union Density,21.5,20.9,20.3,19.7,19.3,18.8,18.3,18.3,18.2,18.5,18.4,19,18,17.8,17.6,17.5,17.4,17.2,17,16.8,,17.59
Korea,Trade Union Density,11.4,11.5,11.3,10.7,10.3,9.9,10,10.5,10.2,9.9,9.6,9.8,9.9,10.1,10.1,10,10,10.5,11.6,,,10.25
Latvia,Trade Union Density,,,,21,,,18,16.7,15.2,15.2,15.1,13.7,13.2,12.9,12.8,12.7,12.4,12.3,11.6,,,12.7
Lithuania,Trade Union Density,,18.5,,12.2,,,9.8,9.3,8.9,10,10.1,9.7,9,8.4,8.1,7.9,7.7,7.7,7.1,7.4,,8.11
Luxembourg,Trade Union Density,,,,44,43.4,42.6,41.4,39.5,37.6,36.8,36.1,36.6,35.3,34.8,34.1,33.3,32.3,32.1,30.4,28.2,,33.01
Mexico,Trade Union Density,16.7,,15.5,,,16.9,16.3,16.7,15.6,15.3,14.5,14.7,14,13.8,13.6,13.1,12.7,12.5,12,12.3,12.4,13.11
Netherlands,Trade Union Density,22.3,21.6,21.4,20.9,21.3,22.1,21.4,20.2,20,20,19.5,19.3,18.8,18.2,18.1,17.7,17.3,16.8,16.5,15.4,,17.57
New Zealand,Trade Union Density,22.4,22.3,21.8,21.7,21.7,22.3,21.8,20.8,21.4,21.5,21.4,20.5,20.3,19.5,18.6,17.9,17.8,17.5,17.7,,,18.72
Norway,Trade Union Density,53.6,52.6,52.8,51.8,51.6,51.2,51.1,50.1,49.8,50.3,50.5,49.9,49.9,49.8,50.1,49.8,50,50,49.9,50.4,,49.98
Poland,Trade Union Density,23.5,22.3,22.8,22.9,22.9,23.8,17.9,16.7,15.7,15.4,17.4,17.3,16.6,,16.5,,14.1,13.4,,,,15.58
Portugal,Trade Union Density,,,20.5,21.1,21.6,,21.1,,20.7,20.4,19.6,18.6,,,,16.1,15.3,,,,,16.67
Slovak Republic,Trade Union Density,34.2,32.5,30.1,27.7,25.4,23.5,20.6,18.7,16.8,16,16.4,14.5,14.5,14.1,13.4,12.6,11.8,11.5,11.3,,,12.96
Slovenia,Trade Union Density,44.2,43.3,47.1,45.3,37.1,37.5,32.2,30.6,29.7,40.4,32.6,36.7,26.8,26.2,29.4,23.8,,,,,,28.58
Spain,Trade Union Density,17.5,17.2,16.8,16.5,16,15.5,15.6,16.4,17.4,18.3,18.2,17.9,17.8,17,15.8,14.4,13.9,13.4,13,12.5,,15.08
Sweden,Trade Union Density,81,78.7,78,77.2,76.4,75.7,74.3,70.8,68.3,68.4,68.2,67.5,67.5,67.7,67.3,67,66.7,66.1,65.5,65.2,,66.72
Switzerland,Trade Union Density,20.7,20.2,20.3,20.4,19.9,19.8,19.3,18.9,17.9,17.7,17.6,17,16.5,16.6,16.1,15.7,15.3,14.9,14.4,,,15.81
Türkiye,Trade Union Density,12.5,12.5,11.9,11.2,10.5,10.3,9.4,8.3,7.3,7.3,7.3,7.1,6.3,6.3,6.9,8,8.2,8.6,9.2,9.9,,7.83
United Kingdom,Trade Union Density,29.8,29.3,28.8,29.3,28.8,28.6,28.3,28,27.5,27.4,26.6,26,26.1,25.6,25,24.7,23.6,23.3,23.4,23.5,,24.58
United States,Trade Union Density,12.9,12.9,12.8,12.4,12,12,11.5,11.6,11.9,11.8,11.4,11.3,10.8,10.8,10.7,10.6,10.3,10.3,10.1,9.9,10.3,10.51
OECD,Trade Union Density,20.9,20.3,20,19.7,19.3,19,18.3,18.2,18,18.1,17.8,17.7,17.3,17.1,16.8,16.5,16.2,16,15.9,15.8,,16.59