DATAFLOW,REF_AREA: Reference area,MEASURE: Measure,UNIT_MEASURE: Unit of measure,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,DECIMALS: Decimals
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2000,20.9,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2001,20.299999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2002,20,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2003,19.700001,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2004,19.299999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2005,19,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2006,18.299999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2007,18.200001,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2008,18,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2009,18.1,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2010,17.799999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2011,17.700001,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2012,17.299999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2013,17.1,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2014,16.799999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2015,16.5,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2016,16.200001,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2017,16,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2018,15.9,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2019,15.8,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2000,16.700001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2002,15.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2005,16.9,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2006,16.299999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2007,16.700001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2008,15.6,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2009,15.3,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2010,14.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2011,14.7,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2012,14,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2013,13.8,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2014,13.6,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2015,13.1,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2016,12.7,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2017,12.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2018,12,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2019,12.3,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2020,12.4,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2000,81,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2001,78.699997,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2002,78,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2003,77.199997,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2004,76.400002,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2005,75.699997,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2006,74.300003,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2007,70.800003,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2008,68.300003,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2009,68.400002,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2010,68.199997,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2011,67.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2012,67.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2013,67.699997,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2014,67.300003,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2015,67,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2016,66.699997,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2017,66.099998,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2018,65.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),SWE: Sweden,TUD: Trade union density,PT_SAL: Percentage of employees,2019,65.199997,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2000,35.900002,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2001,35,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2002,35.099998,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2003,34.900002,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2004,33.599998,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2005,32.400002,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2006,31.700001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2007,30.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2008,30.9,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2009,31.9,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2010,31.6,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2011,31.6,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2012,30.1,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2013,28.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2014,26.299999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2015,25.4,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2016,23.4,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2017,24.299999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2018,24.1,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2019,25.1,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),IRL: Ireland,TUD: Trade union density,PT_SAL: Percentage of employees,2020,26.200001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2000,34.799999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2001,34.200001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2002,33.700001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2003,33.599998,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2004,34,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2005,33.799999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2006,33.599998,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2007,34,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2008,33.900002,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2009,34.700001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2010,35.299999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2011,35.200001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2012,35.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2013,35.700001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2014,35.400002,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2015,34.200001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2016,33.599998,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2017,33.200001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2018,32.599998,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),ITA: Italy,TUD: Trade union density,PT_SAL: Percentage of employees,2019,32.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2000,24.9,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2001,24.6,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2002,23.200001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2003,23.200001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2004,22.799999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2005,22.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2006,20.4,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2007,18.799999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2008,18.799999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2009,19.6,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2010,18.4,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2011,18.4,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2012,18.200001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2013,17,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2014,15.1,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2016,14.6,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),AUS: Australia,TUD: Trade union density,PT_SAL: Percentage of employees,2018,13.7,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2000,14.3,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2001,13.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2002,14.3,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2003,14.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2004,13.9,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2005,13.3,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2006,12.9,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2007,11.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2008,12,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2009,13,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2010,12.9,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2011,13.4,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2012,13.1,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2013,13.7,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2014,12.4,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2015,18.6,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2016,19.299999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2017,19.299999,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),CRI: Costa Rica,TUD: Trade union density,PT_SAL: Percentage of employees,2018,19.4,,,1: One
